DATE;TIME;WaterLevel
20181029;04:20;0.34
20181029;04:30;0.29
20181029;04:40;0.27
20181029;04:50;0.35
20181029;05:00;0.29
20181029;05:10;0.32
20181029;05:20;0.35
20181029;05:30;0.33
20181029;05:40;0.31
20181029;05:50;0.37
20181029;06:00;0.39
20181029;06:10;0.38
20181029;06:20;0.39
20181029;06:30;0.33
20181029;06:40;0.48
20181029;06:50;0.41
20181029;07:00;0.37
20181029;07:10;0.50
20181029;07:20;0.41
20181029;07:30;0.48
20181029;07:40;0.51
20181029;07:50;0.43
20181029;08:00;0.50
20181029;08:10;0.45
20181029;08:20;0.52
20181029;08:30;0.59
20181029;08:40;0.47
20181029;08:50;0.52
20181029;09:00;0.59
20181029;09:10;0.60
20181029;09:20;0.57
20181029;09:30;0.60
20181029;09:40;0.55
20181029;09:50;0.61
20181029;10:00;0.63
20181029;10:10;0.56
20181029;10:20;0.59
20181029;10:30;0.60
20181029;10:40;0.56
20181029;10:50;0.71
20181029;11:00;0.53
20181029;11:10;0.56
20181029;11:20;0.68
20181029;11:30;0.47
20181029;11:40;0.60
20181029;11:50;0.63
20181029;12:00;0.57
20181029;12:10;0.61
20181029;12:20;0.69
20181029;12:30;0.50
20181029;12:40;0.62
20181029;12:50;0.64
20181029;13:00;0.63
20181029;13:10;0.72
20181029;13:20;0.51
20181029;13:30;0.55
20181029;13:40;0.71
20181029;13:50;0.63
20181029;14:00;0.57
20181029;14:10;0.47
20181029;14:20;0.51
20181029;14:30;0.69
20181029;14:40;0.47
20181029;14:50;0.61
20181029;15:00;0.74
20181029;15:10;0.46
20181029;15:20;0.63
20181029;15:30;0.79
20181029;15:40;0.44
20181029;15:50;0.74
20181029;16:00;0.60
20181029;16:10;0.54
20181029;16:20;0.65
20181029;16:30;0.53
20181029;16:40;0.55
20181029;16:50;0.65
20181029;17:00;0.49
20181029;17:10;0.52
20181029;17:20;0.55
20181029;17:30;0.56
20181029;17:40;0.59
20181029;17:50;0.67
20181029;18:00;0.51
20181029;18:10;0.60
20181029;18:20;0.67
20181029;18:30;0.61
20181029;18:40;0.60
20181029;18:50;0.62
20181029;19:00;0.69
20181029;19:10;0.59
20181029;19:20;0.61
20181029;19:30;0.77
20181029;19:40;0.60
20181029;19:50;0.67
20181029;20:00;0.69
20181029;20:10;0.60
20181029;20:20;0.72
20181029;20:30;0.68
20181029;20:40;0.64
20181029;20:50;0.66
20181029;21:00;0.64
20181029;21:10;0.61
20181029;21:20;0.67
20181029;21:30;0.62
20181029;21:40;0.66
20181029;21:50;0.72
20181029;22:00;0.60
20181029;22:10;0.74
20181029;22:20;0.67
20181029;22:30;0.67
20181029;22:40;0.78
20181029;22:50;0.54
20181029;23:00;0.70
20181029;23:10;0.68
20181029;23:20;0.53
20181029;23:30;0.63
20181029;23:40;0.57
20181029;23:50;0.62
20181030;00:00;0.56
20181030;00:10;0.55
20181030;00:20;0.61
20181030;00:30;0.58
20181030;00:40;0.51
20181030;00:50;0.53
20181030;01:00;0.44
20181030;01:10;0.57
20181030;01:20;0.51
20181030;01:30;0.42
20181030;01:40;0.50
20181030;01:50;0.42
20181030;02:00;0.47
20181030;02:10;0.45
20181030;02:20;0.43
20181030;02:30;0.47
20181030;02:40;0.45
20181030;02:50;0.43
20181030;03:00;0.40
20181030;03:10;0.41
20181030;03:20;0.41
20181030;03:30;0.39
20181030;03:40;0.41
20181030;03:50;0.39
20181030;04:00;0.38
20181030;04:10;0.38
20181030;04:20;0.40
20181030;04:30;0.36
20181030;04:40;0.38
20181030;04:50;0.37
20181030;05:00;0.36
20181030;05:10;0.37
20181030;05:20;0.34
20181030;05:30;0.37
20181030;05:40;0.38
20181030;05:50;0.37
20181030;06:00;0.39
20181030;06:10;0.34
20181030;06:20;0.37
20181030;06:30;0.40
20181030;06:40;0.36
20181030;06:50;0.41
20181030;07:00;0.37
20181030;07:10;0.37
20181030;07:20;0.45
20181030;07:30;0.36
20181030;07:40;0.38
20181030;07:50;0.42
20181030;08:00;0.40
20181030;08:10;0.40
20181030;08:20;0.45
20181030;08:30;0.44
20181030;08:40;0.47
20181030;08:50;0.47
20181030;09:00;-
20181030;09:10;0.50
20181030;09:20;0.49
20181030;09:30;0.51
20181030;09:40;0.52
20181030;09:50;0.50
20181030;10:00;0.50
20181030;10:10;0.53
20181030;10:20;0.55
20181030;10:30;0.51
20181030;10:40;0.54
20181030;10:50;0.54
20181030;11:00;0.51
20181030;11:10;0.54
20181030;11:20;0.52
20181030;11:30;0.52
20181030;11:40;0.52
20181030;11:50;0.53
20181030;12:00;0.52
20181030;12:10;0.50
20181030;12:20;0.52
20181030;12:30;0.49
20181030;12:40;0.50
20181030;12:50;0.50
20181030;13:00;0.45
20181030;13:10;0.44
20181030;13:20;0.49
20181030;13:30;0.48
20181030;13:40;0.50
20181030;13:50;0.49
20181030;14:00;0.45
20181030;14:10;0.45
20181030;14:20;0.45
20181030;14:30;0.43
20181030;14:40;0.44
20181030;14:50;0.44
20181030;15:00;0.42
20181030;15:10;0.42
20181030;15:20;0.43
20181030;15:30;0.41
20181030;15:40;0.41
20181030;15:50;0.38
20181030;16:00;0.39
20181030;16:10;0.36
20181030;16:20;0.37
20181030;16:30;0.37
20181030;16:40;0.35
20181030;16:50;0.34
20181030;17:00;0.35
20181030;17:10;0.33
20181030;17:20;0.35
20181030;17:30;0.30
20181030;17:40;0.31
20181030;17:50;0.33
20181030;18:00;0.31
20181030;18:10;0.30
20181030;18:20;0.31
20181030;18:30;0.30
20181030;18:40;0.30
20181030;18:50;0.32
20181030;19:00;0.29
20181030;19:10;0.27
20181030;19:20;0.33
20181030;19:30;0.30
20181030;19:40;0.29
20181030;19:50;0.36
20181030;20:00;0.29
20181030;20:10;0.31
20181030;20:20;0.31
20181030;20:30;0.30
20181030;20:40;0.30
20181030;20:50;0.30
20181030;21:00;0.31
20181030;21:10;0.34
20181030;21:20;0.33
20181030;21:30;0.32
20181030;21:40;0.33
20181030;21:50;0.35
20181030;22:00;0.36
20181030;22:10;0.31
20181030;22:20;0.32
20181030;22:30;0.35
20181030;22:40;0.34
20181030;22:50;0.34
20181030;23:00;0.33
20181030;23:10;0.31
20181030;23:20;0.34
20181030;23:30;0.33
20181030;23:40;0.31
20181030;23:50;0.31
20181031;00:00;0.31
20181031;00:10;0.31
20181031;00:20;0.31
20181031;00:30;0.35
20181031;00:40;0.33
20181031;00:50;0.34
20181031;01:00;0.33
20181031;01:10;0.31
20181031;01:20;0.30
20181031;01:30;0.30
20181031;01:40;0.30
20181031;01:50;0.26
20181031;02:00;0.25
20181031;02:10;0.28
20181031;02:20;0.24
20181031;02:30;0.28
20181031;02:40;0.26
20181031;02:50;0.24
20181031;03:00;0.29
20181031;03:10;0.24
20181031;03:20;0.25
20181031;03:30;0.26
20181031;03:40;0.24
20181031;03:50;0.28
20181031;04:00;0.26
20181031;04:10;0.22
20181031;04:20;0.26
20181031;04:30;0.24
20181031;04:40;0.23
20181031;04:50;0.24
20181031;05:00;0.22
20181031;05:10;0.21
20181031;05:20;0.20
20181031;05:30;0.22
20181031;05:40;0.20
20181031;05:50;0.14
20181031;06:00;0.16
20181031;06:10;0.17
20181031;06:20;0.17
20181031;06:30;0.22
20181031;06:40;0.21
20181031;06:50;0.19
20181031;07:00;0.21
20181031;07:10;0.21
20181031;07:20;0.27
20181031;07:30;0.22
20181031;07:40;0.25
20181031;07:50;0.29
20181031;08:00;0.27
20181031;08:10;0.25
20181031;08:20;0.27
20181031;08:30;0.26
20181031;08:40;0.27
20181031;08:50;0.30
20181031;09:00;0.29
20181031;09:10;0.29
20181031;09:20;0.31
20181031;09:30;0.30
20181031;09:40;0.30
20181031;09:50;0.35
20181031;10:00;0.31
20181031;10:10;0.34
20181031;10:20;0.36
20181031;10:30;0.35
20181031;10:40;0.37
20181031;10:50;0.37
20181031;11:00;0.36
